id,	xcor,	ycor,	size,	capacity,	hidden-places,	info,	lock?, accident-prob
31.1,	30,	13,	1,	10,		1,		0,	1,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
32.1,	32,	13,	1,	10,		1,		0,	1,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
33.1,	33,	13,	1,	10,		1,		0,	1,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
34.1,	35,	13,	1,	20,		1,		0,	1,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
35.1,	37,	13,	1,	10,		1,		0,	1,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
36.1,	38,	13,	1,	10,		1,		0,	1,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
37.1,	40,	13,	2,	10,		1,		0,	1,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
38.1,	22,	6,	1,	10,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
39.1,	21,	9,	1,	10,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
40.1,	24,	6,	1,	15,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
40.2,	24,	9,	1,	15,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
41.1,	28,	6,	1,	15,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
42.1,	27,	9,	1,	15,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
43.1,	31,	6,	1,	15,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
44.1,	31,	9,	1,	15,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
45.1,	34,	6,	1,	15,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
45.2,	34,	9,	1,	15,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
46.1,	37,	7,	1,	50,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
47.1,	39,	6,	2,	30,		1,		0,	1,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
48.1,	39,	9,	2,	30,		1,		0,	1,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
49.01,	42,	7,	2,	30,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
