BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evacuation_scenario.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"app-T-F,attacker-speed-0.6-1.5,shooting-T,peace-350,mods-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2020 06:59:54:763 +0100,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],app-info?,shooting?,num-peacefuls,visibility-mod,sound-mod,num-violents,shoot-noise,attack-prob,attackers-efectivity,attackers-speed,initial-positions,leaders-percentage,app-percentage,defense-prob,not-alerted-speed,mean-speed,max-speed-deviation,max-iter,app-mode,first-blood,crowd-running,what-is-a-crowd?,[step],not-app-killed,app-killed,app-killed + not-app-killed,not-app-accident,app-accident,not-app-accident + app-accident,not-app-in-secure-room,app-in-secure-room,not-app-in-secure-room + app-in-secure-room,not-app-rescued,app-rescued,not-app-rescued + app-rescued,rooms
49,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,290,16,6,22,2,2,4,60,56,116,104,104,208,true
47,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,281,16,11,27,3,5,8,80,59,139,86,90,176,true
50,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,345,10,4,14,4,3,7,73,42,115,99,115,214,true
52,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,281,8,3,11,1,1,2,67,49,116,116,105,221,true
53,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,288,15,1,16,2,2,4,60,49,109,101,120,221,true
57,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,251,3,1,4,0,1,1,56,45,101,108,136,244,true
56,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,243,12,12,24,2,1,3,47,68,115,88,120,208,true
54,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,269,7,5,12,1,2,3,79,54,133,101,101,202,true
55,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,292,12,9,21,5,4,9,76,37,113,82,125,207,true
58,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,328,8,2,10,2,3,5,74,43,117,100,118,218,true
60,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,329,4,7,11,0,0,0,66,64,130,101,108,209,true
64,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,293,9,4,13,1,1,2,59,55,114,99,122,221,true
59,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,500,7,4,11,1,1,2,78,49,127,81,128,209,true
61,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,319,7,7,14,1,1,2,67,63,130,112,92,204,true
65,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,365,18,4,22,0,1,1,72,65,137,96,94,190,true
62,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,433,10,6,16,1,3,4,83,52,135,87,108,195,true
68,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,342,6,3,9,3,5,8,59,46,105,99,129,228,true
63,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,500,10,8,18,1,7,8,62,71,133,88,102,190,true
67,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,373,12,2,14,0,3,3,67,46,113,104,116,220,true
69,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,324,9,3,12,3,2,5,58,52,110,115,108,223,true
66,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,351,6,8,14,2,1,3,65,64,129,99,105,204,true
70,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,279,7,5,12,2,3,5,70,47,117,103,113,216,true
71,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,291,9,2,11,2,3,5,82,40,122,78,134,212,true
75,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,181,1,5,6,1,1,2,63,39,102,95,145,240,true
73,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,291,21,7,28,2,2,4,53,63,116,102,100,202,true
72,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,302,10,7,17,1,2,3,71,66,137,96,97,193,true
80,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,267,8,7,15,0,2,2,57,59,116,110,107,217,true
74,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,376,6,9,15,3,4,7,54,58,112,101,115,216,true
82,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,259,13,2,15,1,2,3,76,46,122,87,123,210,true
81,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,315,10,3,13,2,1,3,85,35,120,82,132,214,true
78,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,353,12,4,16,2,1,3,71,53,124,92,115,207,true
76,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,305,11,3,14,4,1,5,66,65,131,90,110,200,true
79,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,357,8,1,9,0,3,3,75,50,125,100,113,213,true
83,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,319,17,2,19,1,2,3,69,37,106,84,138,222,true
84,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,259,9,2,11,2,1,3,60,52,112,101,123,224,true
77,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,500,10,3,13,3,1,4,80,55,135,96,101,197,true
86,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,363,10,9,19,1,2,3,67,67,134,88,106,194,true
89,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,306,2,3,5,2,2,4,70,45,115,96,130,226,true
85,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,500,8,10,18,0,0,0,60,70,130,99,102,201,true
88,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,363,14,6,20,3,3,6,69,67,136,98,90,188,true
91,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,379,13,6,19,7,4,11,73,59,132,83,105,188,true
87,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,500,17,6,23,2,3,5,64,66,130,92,99,191,true
93,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,370,20,8,28,0,2,2,47,81,128,99,93,192,true
95,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,280,14,4,18,1,2,3,68,70,138,93,98,191,true
94,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,359,21,4,25,0,3,3,82,54,136,90,96,186,true
90,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,378,8,6,14,0,0,0,73,60,133,113,90,203,true
92,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,367,16,13,29,2,1,3,67,76,143,76,99,175,true
96,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,251,7,5,12,0,1,1,58,47,105,109,123,232,true
102,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,239,6,1,7,5,4,9,70,38,108,95,131,226,true
99,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,231,4,2,6,2,3,5,69,44,113,84,142,226,true
101,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,317,8,5,13,2,2,4,61,43,104,111,118,229,true
98,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,326,5,3,8,2,6,8,67,50,117,97,120,217,true
97,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,371,11,1,12,2,1,3,81,53,134,78,123,201,true
107,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,138,6,1,7,2,0,2,62,48,110,109,122,231,true
105,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,223,6,4,10,0,2,2,67,52,119,96,123,219,true
100,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,305,6,11,17,1,0,1,72,60,132,96,104,200,true
104,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,371,18,5,23,2,2,4,60,55,115,98,110,208,true
109,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,333,15,3,18,2,3,5,53,58,111,92,124,216,true
103,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,478,11,1,12,2,3,5,80,51,131,73,129,202,true
113,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,217,4,0,4,1,2,3,54,26,80,100,163,263,true
108,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,277,18,4,22,1,1,2,66,57,123,90,113,203,true
111,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,336,14,3,17,0,3,3,57,76,133,100,97,197,true
